Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
Marjavill O†,11436261,OsaŸhing,Kudumiskoja tegevuse arendamine,49 900,02.09.2008 ... 06.10.2009,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Marina Podgornaja Ettev›te FIE,11043449,FŸŸsilisest isikust ettev›tja,Rahvusvahelised finantsaruandluse standardid,15 000,10.11.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Marina Gorodnjanskaja FIE,11591168,FŸŸsilisest isikust ettev›tja,Arvuti›pe algajatele (eratunnid),7 680,08.10.2009 ... 08.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mariina Kaal FIE,11685567,FŸŸsilisest isikust ettev›tja,Koolitusosaku taotlemine Tallinna TehnikaŸlikooli tšškeskkonnaspetsialistide akadeemilise koolituse sŸgissemestri lŠbimiseks ja arvutikursusel osalemiseks 2010.a. kevadel,15 000,29.09.2009 ... ,Saare maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mari Kelder FIE,46209012765,FŸŸsilisest isikust ettev›tja,Hiina traditsiooniline meditsiin-HTM,10 400,08.12.2009 ... ,J›geva maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mare Meier FIE,44303232738,FŸŸsilisest isikust ettev›tja,Pottsepa tŠiendkoolitus,10 000,21.12.2009 ... ,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Marave Ilusalong O†,11604445,OsaŸhing,Ilusalongi avamine,49 961,29.07.2009 ... 29.09.2009,LŠŠne maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mantar Invest O†,11540076,OsaŸhing,P›hivara soetamine,100 000,02.12.2009 ... ,J›geva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mamako O†,10676336,OsaŸhing,Kvaliteedijuhtimine,35 000,27.11.2008 ... 13.05.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Malli Ilusalong O†,11751353,OsaŸhing,O† Malli Ilusalong kŠivitamine,11 556,13.01.2010 ... ,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mall Kaare FIE,11792850,FŸŸsilisest isikust ettev›tja,Lahemaa ning Seto- ja Liivimaa reisisaatja,11 376,20.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Malek O†,10082660,OsaŸhing,Arengu tŠiendkoolitus,13 192,08.12.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Makit Ehitus O†,11380632,OsaŸhing,Makit Ehitus O† p›hivara soetamine,50 000,10.06.2008 ... 23.10.2008,LŠŠne-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158xx,RiiklikudŸksused,Kliimapaketi ja heitmekaubanduse negatiivsete m›jude pehmendamine,1 369 008,27.11.2009 ... ,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158x,RiiklikudŸksused,Majandus- ja Kommunikatsiooniministeerium Inimres. OP TA 2008,150 000,21.04.2008 ... 03.03.2009,†leriiklikud/maakondade vahelised projektid,1.6.1 Tehniline abi,ESF,Rahandusministeerium,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158,RiiklikudŸksused,Konkurentsiameti analŸŸsiv›imekuse t›stmine konkurentsiolukorra analŸŸsimisel,276 344,17.10.2008 ... 24.09.2009,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158,RiiklikudŸksused,"Avalike teenistujate, kohalike omavalitsuste ja mittetulundusŸhingute tšštajate koolitus ja arendamine. Majandus- ja Kommunikatsiooniministeeriumi majandusarengu osakonna, siseturu osakonna, sideosakonna ning EL ja rahvusvahelise koostšš osakonna ametnike",142 120,24.11.2008 ... 27.05.2009,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158xx,RiiklikudŸksused,Majandus- ja Kommunikatsiooniministeeriumi tippjuhtide arendusprogramm strateegilise personalijuhtimise t›hustamiseks muutuvas tegevuskeskkonnas,273 156,24.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158,RiiklikudŸksused,Teadus-arendustegevust ja innovatsiooni soosiva maksumeetmestiku analŸŸs,701 591,13.03.2009 ... 05.02.2010,†leriiklikud/maakondade vahelised projektid,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158x,RiiklikudŸksused,Majandus- ja Kommunikatsiooniministeeriumi keskastmejuhtide juhtimis- ja koostššv›imekuse t›stmise arenguprogramm (jŠtkuprojekt),211 109,25.11.2008 ... 17.12.2009,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158,RiiklikudŸksused,Kriitilise informatsiooni infrastruktuuri (KII) kaardistamine,2 250 000,04.02.2010 ... ,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158,RiiklikudŸksused,Kohalike omavalitsuste ja nende allasutuste energiat›hususe koordineerimise alase haldussuutlikkuse t›stmine,621 411,09.05.2008 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158,RiiklikudŸksused,Eesti transpordisŸsteemi vŠliskulude hindamine,662 688,13.03.2009 ... 23.12.2009,†leriiklikud/maakondade vahelised projektid,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158,RiiklikudŸksused,Finantsteenused Eestis: v›imalused ettev›tetele ja jŠreldused poliitikale,720 000,13.03.2009 ... ,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Majandus- ja Kommunikatsiooniministeerium,70003158,RiiklikudŸksused,Teadmistep›hise majanduse suunas liikumiseks vajaliku tššj›u- ja koolitusvajaduse vŠljaselgitamine,426 232,17.10.2008 ... 05.11.2009,†leriiklikud/maakondade vahelised projektid,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Maitsev›lu O†,10792781,OsaŸhing,Eriline teenindus 2009/10 hooajal toitlustusettev›ttes tavalise teeninduse asemele,15 000,09.12.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maimoja O†,11463128,OsaŸhing,koolitusprogramm 'Graafiline turundus veebis',10 560,19.11.2009 ... 15.02.2010,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Magic World O†,11008542,OsaŸhing,"RUUMI KUJUNDAMISE KURSUS, MINA JA KUNST",8 200,01.10.2009 ... ,Valga maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maarja Vilsar FIE,47510274717,FŸŸsilisest isikust ettev›tja,"Suurendada kunsti ja kŠsitšš tegemise, tootmise ja mŸŸgi v›imalust keraamikaahju soetamisega",44 625,07.05.2009 ... ,V›ru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maardu Graniidikaevandus O†,11019669,OsaŸhing,Maardu graniidikaevanduse eksporditurunduse ja -logistika uuring,100 000,05.05.2009 ... 03.07.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maanteed O†,11285454,OsaŸhing,Motiveeritud tšštaja,12 000,15.10.2009 ... 04.02.2010,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maaleht AS,10001785,Aktsiaselts,ReklaamimŸŸgi tulemuste parandamine muutuvas turusituatsioonis,100 000,20.01.2009 ... 05.10.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maa-amet,70003098,RiiklikudŸksused,T›hus juhtimine ja hea koostšš Maa-ametis,730 866,25.11.2008 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Maa ja Taluehitus O†,11671536,OsaŸhing,Minilaadur-ekskavaatori soetamine ehitusettev›tte tootlikkuse suurendamiseks,100 000,01.09.2009 ... ,V›ru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
M.R. Therapy O†,11744838,OsaŸhing,E-personaaltreeneri keskkonna loomine,100 000,22.01.2010 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
LŠŠne-Viru Omavalitsuste Liit,80197361,MittetulundusŸhing,LŠŠne-Virumaa omavalitsusjuhtide sta_eerimine Soomes Kouvola piirkonnas,52 806,09.05.2008 ... 05.12.2008,LŠŠne-Viru maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
LŠŠne-Viru Omavalitsuste Liit,80197361,MittetulundusŸhing,LŠŠne-Virumaa rahvaraamatukogude tšštajate sta_eerimine Taanis,278 203,27.11.2008 ... 04.12.2009,LŠŠne-Viru maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
LŠŠne-Viru Omavalitsuste Liit,80197361,MittetulundusŸhing,Tššle pŠŠsu takistuste k›rvaldamine Ÿhtse sotsiaaltranspordisŸsteemi abil,2 999 964,23.11.2009 ... ,Maakondade koostššprojekt,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
LŠŠne-Viru Omavalitsuste Liit,80197361,MittetulundusŸhing,LŠŠne-Virumaa omavalitsuste sotsiaaltšš spetsialistide sta_eerimine Soomes Kymenlaakso maakonnas,36 838,09.05.2008 ... 05.12.2008,LŠŠne-Viru maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
LŠŠne-Viru Omavalitsuste Liit,80197361,MittetulundusŸhing,LŠŠne-Virumaa omavalitsuste kommunaalvaldkonna spetsialistide sta_eerimine Rootsis GŠvleborgi lŠŠnis,127 711,09.05.2008 ... 13.02.2009,LŠŠne-Viru maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
LŠŠne-Viru Omavalitsuste Liit,80197361,MittetulundusŸhing,LŠŠne-Virumaa majandus- ja loovus›petajate esindajate sta_eerimine Rootsis GŠvleborgi lŠŠnis,32 564,09.05.2008 ... 05.09.2008,LŠŠne-Viru maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
LŠŠne Maavalitsus,70004301,RiiklikudŸksused,LŠŠnemaa neli strateegiapŠeva,72 256,24.01.2010 ... ,LŠŠne maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
LŠŠne Maavalitsus,70004301,RiiklikudŸksused,Kriisikommunikatsioonigrupi koostššv›imekuse t›stmine LŠŠne ja Rapla maakonnas,30 600,09.05.2008 ... 03.12.2008,Maakondade koostššprojekt,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
L›una Politseiprefektuur,70006777,RiiklikudŸksused,Politsei ja vangla ametnike sta_eerimine Suurbritannia kinnipidamisasutustes,236 796,09.05.2008 ... 10.12.2008,Tartu maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Lux Autopesula O†,11700734,OsaŸhing,Lux Autopesula O†,50 000,26.10.2009 ... ,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Luksusjaht AS,10373446,Aktsiaselts,Luksusjaht AS integreeritud juhtimissŸsteemi vŠljaarendamine,84 500,16.02.2010 ... ,Saare maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
LTH-Baas AS,10449400,Aktsiaselts,AS LTH-Baas v›tmeisikute arendusprogramm aastateks 2008-2009,329 207,02.10.2008 ... 13.10.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
LTH-Baas AS,10449400,Aktsiaselts,Prantsuse majanduskeele kursus I,40 000,07.04.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
LRK Autokoolitus O†,11439644,OsaŸhing,Íppevahendite hankimine,49 680,27.01.2009 ... 22.07.2009,Viljandi maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
LP Green O†,11569619,OsaŸhing,Alustava ettev›tja starditoetus,50 000,26.05.2009 ... ,J›geva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lorii O†,11494548,OsaŸhing,Loodusliku glŸtseriinseebi tootmisliini ja pakkemasina ostmine ja installeerimine,200 000,30.09.2008 ... ,Rapla maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lorann O†,10957578,OsaŸhing,1. Eesti Vabariigi Seadusandluse- ja RT juhendite muudatused 2. EestiŠrikeel raamatupidajale,15 000,02.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Loomulik O†,11408030,OsaŸhing,O† Loomuliku pulbersavivŠrvi vŠljatšštamise periood,26 505,30.09.2008 ... 20.11.2009,P›lva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Loiri Pagar AS,10046285,Aktsiaselts,MŸŸgikoolitus,13 300,22.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Logica Eesti AS,10006966,Aktsiaselts,Logica Eesti AS tšštajate Liferay Development koolitus,39 191,10.11.2009 ... 21.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
LL accounting O†,11415980,OsaŸhing,Raamatupidamise rahvusvaheline atestaat (tase 4 Raamatupidamises ja Rahvusvaheliste Fionantsaruandluse Standardite tundmises),15 000,08.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
LK Auto O†,11755730,OsaŸhing,LK Auto O†,100 000,09.12.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ljudmila Polozova FIE,11382813,FŸŸsilisest isikust ettev›tja,Kosmeetikateenuste pakkumise laiendamine,50 000,04.11.2008 ... 12.10.2009,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Living Feng Shui O†,11512364,OsaŸhing,LFS Teadmiste arendus,86 317,26.03.2009 ... 12.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Litvin Grupp O†,11299746,OsaŸhing,Ettev›tte spetsialisti tŠiendkoolitus,15 000,04.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lipi O†,11752513,OsaŸhing,Lipi O† starditoetuse taotlus,89 075,30.11.2009 ... ,Valga maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lionscorp O†,11435706,OsaŸhing,O† Lionscorp,50 000,08.07.2008 ... 11.02.2009,LŠŠne-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Linnuse Autokeskus O†,11001209,OsaŸhing,Koolitus 'Kiirelt t›husaks',9 500,12.10.2009 ... ,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Linnahoolduse OsaŸhing,10859373,OsaŸhing,1. Florist-lilleseadja; 2. Pulmafloristika; 3. Leinatššd,15 000,18.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Linnafauna Zoovetkeskus O†,11689625,OsaŸhing,O† Linnafauna Zoovetkeskus Loomakliinikute komplekteerimine,100 000,24.09.2009 ... ,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Linna Pesumaja O†,11700781,OsaŸhing,Pesumaja seadmed,100 000,03.11.2009 ... ,Saare maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Liivika Rebane FIE,11705318,FŸŸsilisest isikust ettev›tja,TŠiendkoolitus psŸhhoteraapias,15 000,17.02.2010 ... ,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Liisbet Invest O†,11189489,OsaŸhing,Liisbet Invest O† osalemine tootmisjuhi arenguprogrammis,15 000,08.09.2009 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Liisa Raudsepp FIE,11611741,FŸŸsilisest isikust ettev›tja,PsŸhhodraama rakendaja kvalifikatsioonikursus,14 000,07.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Liina Lille Klaveristuudio O†,11739091,OsaŸhing,Liina Lille Klaveristuudio avamine,97 600,15.12.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Liina Kakk FIE,46703116515,FŸŸsilisest isikust ettev›tja,Isikliku arengu ja edukuse koolitus,11 350,06.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Liia Kinz-Kiens FIE,11672381,FŸŸsilisest isikust ettev›tja,Ettev›tluse alustamine,39 697,08.09.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lihakarn O†,11188863,OsaŸhing,ToiduhŸgieenikoolitus,7 800,02.10.2009 ... 01.12.2009,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lifa O†,11552501,OsaŸhing,P›hivara soetamine Lifa O† tegevuse laiendamiseks,199 731,11.08.2009 ... ,Maakondade koostššprojekt,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lianni stuudio O†,11804026,OsaŸhing,Lianni Stuudio p›hivara soetamine,100 000,04.02.2010 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lemoh O†,11856388,OsaŸhing,O† Lemoh,100 000,04.01.2010 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Leisi Tervisekeskus O†,10469040,OsaŸhing,Uue TLS rakendamine praktikas,7 500,04.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Leab Eesti O†,11051087,OsaŸhing,Arenguplaani koostamine Leab Eesti O†-le,49 000,29.10.2008 ... 30.12.2008,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Laus-End O†,10187790,OsaŸhing,Uue Tššlepinguseaduse rakendamine praktikas,15 000,05.11.2009 ... 04.02.2010,Saare maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Laurus Ethica O†,11740734,OsaŸhing,Laurus Ethica toodete turundamine,15 000,22.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Laste V›lumaailm O†,11438662,OsaŸhing,Lastele suunatud teenuseid pakkuva ettev›tte tegevuseks vajaliku p›hivara soetamine,49 995,08.07.2008 ... 22.07.2009,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Laskaren O†,10956171,OsaŸhing,"Soomes ja p›hjamaades(Norra, Rootsi, Taani) kohustuslikud tššohutusalased koolitused",12 500,05.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Lasita Maja Production AS,10512652,Aktsiaselts,FSC JuhtimissŸsteem,97 500,11.11.2008 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
