Nazwa beneficjenta,Tytu_ projektu,Program Operacyjny,Dzia_anie,Poddzia_anie,Warto__ ogó_em,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyp_acenia ostatniej raty
"""U Jana"" S.C. Grzegorz _opuski Marek Morzy","Inwestycja w nowoczesne rozwi_zania drog_ do dynamicznego rozwoju przedsi_biorstwa
",Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsi_biorstw,1.4.1 Mikroprzedsi_biorstwa,"291,643.44","115,427.64",2008,2009
"""UNI-PRO"" Grzegorz Bokotko",Modernizacja procesu produkcji wentylatorów w oparciu o technologi_ ci_cia plazm_ w_skostrumieniow_,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsi_biorczo_ci,,"269,742.00","132,060.00",2008,2009
"""URODA STUDIO"" Monika Zamojska",Uruchomienie „URODA STUDIO” – nowoczesnego salonu fryzjersko – kosmetycznego,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowsta_ych mikroprzedsiebiorstw,,"782,632.00","489,581.40",2008,2009
"""Wet-Rol"" Stanis_aw P_dziwiatr",Podnoszenie kwalifikacji zawodowych i organizacyjnych rolników z województwa ma_opolskiego,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,833.33","47,028.14",2007,2009
"""Wi_zary Lewandowski"" Adam Lewandowski","Zakup centrum ciesielskiego kluczem do wprowadzania innowacji i dalszego rozwoju firmy ""Wi_zary Lewandowski Adam Lewandowski""",Regionalny Program Operacyjny Województwa Lubuskiego,2.1 Mikroprzedsi_biorstwa.,,"351,584.00","175,792.00",2008,2009
"""Wyspa Urody"" - S.C. Marlena Gronowska, Anna Wo_niak","Wzrost konkurencyjno_ci Spó_ki WYSPA URODY, drog_ inwestycji",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.1. Rozwój mikroprzedsi_biorstw,Schemat I: Projekty inwestycyjne,"357,240.00","197,880.00",2009,2009
",,CTC Polska"" Spó_ka. z o.o.",Zatrudniam bez uprzedze_,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"298,089.76","266,487.80",2008,2009
”SWAL” TOMASZ _EBROWSKI,Rozwój dzia_alno_ci poprzez wprowadzenie na rynek europejski innowacyjnego: LAX - elementu do mocowania p_yt izolacyjnych,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsi_biorczo_ci,,"265,109.20","129,715.33",2008,2009
„ADBA” Spó_ka Jawna Raczy_ski & Mazur,Zakup nowoczesnego wyposa_enia do obiektu hotelarsko-gastronomicznego „ADBA” w Ostrowcu _wi_tokrzyskim,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"2,338,861.76","740,166.40",2008,2009
"„AP-Drzwi” Sp. j. Andrzej Pawlik, Daniel Pawlik, Kamil Pawlik",Uruchomienie produkcji pó_produktów przeznaczonych do wyrobu drzwi drewnianych,Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsi_biorczo_ci,1.1.2 Inwestycje w mikroprzedsi_biorstwach,"480,610.65","232,386.45",2008,2009
"„BOCIAN” A.Boniszewska-Bocian, T.Bocian SP. J.",Doradztwo w dziedzinie innowacji i nowych technologii w przedsi_biorstwie BOCIAN,Regionalny Program Operacyjny Województwa Lubelskiego,1.7. Wzrost konkurencyjno_ci przedsi_biorstw przez doradztwo,,"34,160.00","14,000.00",2008,2009
„DOM” Stolarstwo Ogólne Adam Barycki,Wzrost konkurencyjno_ci firmy poprzez wprowadzenie na rynek nowoczesnych produktów,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"201,522.28","81,042.60",2008,2009
„Gabinety Okulistyczne” Spó_ka z ograniczon_ odpowiedzialno_ci_,Wzrost konkurencyjno_ci Gabinetów Okulistycznych Sp. z o.o. poprzez wdro_enie innowacyjnych technologii w diagnostyce i leczeniu chorób oczu,Regionalny Program Operacyjny Województwa Lubelskiego,1.2. Dotacje inwestycyjne dla mikroprzedsi_biorstw,,"548,535.50","274,267.75",2008,2009
„GEODEZJA” Micha_ _uszczewski ,Wzmocnienie pozycji konkurencyjnej Przedsi_biorstwa w wyniku nabycia nowoczesnych urz_dze_ geodezyjnych,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"90,280.00","31,500.00",2008,2009
„Indywidualna Specjalistyczna Praktyka Stomatologiczna Denisiuk Krzysztof Waldemar”, Zakup innowacyjnego wyposa_enia gabinetu stomatologicznego w celu wprowadzenia nowych us_ug oraz wzrostu konkurencyjno_ci.  ,Regionalny Program Operacyjny Województwa Lubelskiego,1.2. Dotacje inwestycyjne dla mikroprzedsi_biorstw,,"111,552.70","74,651.50",2008,2009
„KARTONEX” Spó_ka z ograniczon_ odpowiedzialno_ci_,Podniesienie konkurencyjno_ci firmy Kartonex Sp.z.o.o. poprzez opracowanie strategii rozwoju przedsi_biorstwa,Regionalny Program Operacyjny Województwa Lubelskiego,1.7. Wzrost konkurencyjno_ci przedsi_biorstw przez doradztwo,,"36,600.00","15,000.00",2008,2009
„KOINSTAL” mgr Janusz Smolarczyk,"Podniesienie konkurencyjno_ci firmy ""KOINSTAL"" mgr Janusz Smolarczyk poprzez zakup niezb_dnego wyposa_enia.",Regionalny Program Operacyjny Województwa Lubelskiego,1.2. Dotacje inwestycyjne dla mikroprzedsi_biorstw,,"124,339.96","70,992.60",2008,2009
"„Multipress” G. Wodecki, D. Wodecka S.C.",Zakup czterokolorowej offsetowej maszyny drukuj_cej w formacie B2 oraz systemu do cyfrowego na_wietlania p_yt CTP skutkuj_cy unowocze_nieniem oferty produktowej i technologicznej drukarni Multipress,Regionalny Program Operacyjny Województwa Lubelskiego,1.3. Dotacje inwestycyjne dla ma_ych i _rednich przedsi_biorstw,,"2,496,998.40","935,300.36",2008,2009
„O-PRESS” Spó_ka z Ograniczon_ Odpowiedzialno_ci_,"Dywersyfikacja dzia_alno_ci firmy „O-PRESS” w wyniku zakupu linii technologicznej do produkcji p_yt EPS gwarantuj_ca znaczne zwi_kszenie dynamiki rozwoju firmy i wzrost konkurencyjno_ci.
",Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"3,464,068.00","1,277,730.00",2008,2009
„PEGAS” Spó_ka z ograniczon_ odpowiedzialno_ci_,"Wzmocnienie potencja_u rozwojowego i konkurencyjno_ci firmy ""PEGAS"" poprzez zakup zaawansowanej technologicznie, mobilnej kruszarki udarowej.",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"1,311,334.08","197,667.48",2008,2009
„Przewozy Mi_dzynarodowe International Truck Europa” „Okr_gowa Stacja Kontroli Pojazdów” Jan Maziarz,"ROZSZERZENIE DZIA_ALNO_CI PRZEDSI_BIORSTWA POPRZEZ WPROWADZENIE NOWYCH US_UG DZI_KI ZAKUPOWI SPECJALISTYCZNEGO, CI__KIEGO POJAZDU RATOWNICZEGO WRAZ Z OSPRZ_TEM",Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"1,352,309.00","554,225.00",2008,2009
„_rodowisko i Innowacje” Spó_ka z ograniczon_ odpowiedzialno_ci_,Wzrost konkurencyjno_ci firmy poprzez podniesienie wydajno_ci sk_adowiska azbestu dzi_ki zakupowi nowoczesnej koparki g_sienicowej,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"685,345.94","269,644.30",2008,2009
"„WIDPOL” S.C. Maria Widlarz, Dominik Widlarz, Marcin Widlarz","„Podniesienie konkurencyjno_ci firmy „WIDPOL” S.C. Maria Widlarz, Dominik Widlarz Marcin Widlarz poprzez zakup nowoczesnej tokarki CNC""",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"305,000.00","100,000.00",2008,2009
21CN RADOS_AW SMILGIN,Eksport us_ug z zakresu testowania oprogramowania,Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"12,500.00","10,000.00",2009,2009
"4 People Leszczy_ski, Ostrowski, Perz, Polak Spó_ka Jawna                ",Zastosowanie technologii informatycznych poprzez wykorzystanie aplikacji internetowych w postaci zintegrowanego systemu zarz_dzania klasy CRM,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.1. Mikroprzedsi_biorstwa,"166,530.00","81,900.00",2008,2009
A.P.J. Sikora spó_ka jawna,Zwi_kszenie konkurencyjno_ci firmy A.P.J. Sikora poprzez zakup tokarek numerycznych CNC,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.2. Ma_e i _rednie Przedsi_biorstwa,"1,525,000.00","750,000.00",2008,2009
A.S. Sierant PPHU Sierant Spó_ka Jawna,Wzmocnienie przedsi_biorstwa na rynku mi_dzynarodowym poprzez wdro_enie nowych wzorów _aluzji,Program Operacyjny Innowacyjna Gospodarka,4.2. Stymulowanie dzia_alno_ci B+R przedsi_biorstw oraz wsparcie w zakresie wzornictwa przemys_owego,,"1,308,938.00","636,238.88",2008,2009
A.S. Sierant PPHU Sierant Spó_ka Jawna,"Udzia_ A.S. Siernat PPHU ""Sierant"" Spó_ka Jawna w Mi_dzynarodowych Targach Rolet, Bram i Os_on Przeciws_onecznych R+T, Stuttgart, 10 -14.02.2009 r. jako wystawca.",Regionalny Program Operacyjny Województwa _ódzkiego,III.2. Podnoszenie innowacyjno_ci i konkurencyjno_ci przedsi_biorstw,,"273,447.60","96,767.84",2008,2009
ABAKUS Konsulting R. _muda Spó_ka Jawna,Nowe kwalifikacje - nowe mo_liwo_ci zawodowe dla osób bezrobotnych,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"600,478.00","587,771.62",2008,2009
ABAKUS Konsulting R._muda Spó_ka Jawna,STARTER- pilota_owy program szkole_ zawodowych dla bezrobotnych kobiet,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"245,298.00","233,015.97",2007,2009
ABATEX Andrzej Szewczyk,Wzrost konkurencyjno_ci i innowacyjno_ci fabryki okien ABATEX poprzez wdro_enie innowacyjnych i wiedzoch_onnych technologii,Regionalny Program Operacyjny Województwa _ódzkiego,III.2. Podnoszenie innowacyjno_ci i konkurencyjno_ci przedsi_biorstw,,"2,764,764.00","1,372,011.39",2008,2009
ABM S.A.,Wdro_enie systemu do elektronicznego zarz_dzania relacjami biznesowymi w sieci sprzeda_y ABM.,Program Operacyjny Innowacyjna Gospodarka,8.2. Wspieranie wdra_ania elektronicznego biznesu typu B2B,,"150,520.00","75,400.00",2008,2009
ABRA Spó_ka z ograniczon_ odpowiedzialno_ci_,Obróbka materia_ów w wykorzystaniem maszyn CNC.,Regionalny Program Operacyjny Województwa Opolskiego,"1.3 Innowacje, badania, rozwój technologiczny",1.3.2 Inwestycje w innowacje w przedsi_biorstwach,"1,244,400.00","663,000.00",2008,2009
ACL-VISION Specjalistyczne Ambulatorium Okulistyczne Niepubliczny Zak_ad Opieki Zdrowotnej – Piotr Szymanek,Poprawa konkurencyjno_ci ACL VISION poprzez zakup urz_dze_ nowoczesnej technologii diagnostycznej i operacyjnej.,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsi_biorczo_ci,,"927,244.00","428,227.17",2008,2009
Action for Development of Research Sp. z o.o.,"Bifalina, uzyskanie ochrony w_asno_ci przemys_owej w trybie PCT na metod_ otrzymywania N-blokowanego peptydu
",Program Operacyjny Innowacyjna Gospodarka,5.4. Zarz_dzanie w_asno_ci_ intelektualn_,5.4.1. Wsparcie na uzyskanie/realizacj_ ochrony w_asno_ci przemys_owej,"22,760.00","14,157.27",2008,2009
Action for Development of Research Sp. z o.o.,"Bifalina, uzyskanie ochrony w_asno_ci przemys_owej w trybie PCT na metod_ otrzymywania peptydu opioidowego
",Program Operacyjny Innowacyjna Gospodarka,5.4. Zarz_dzanie w_asno_ci_ intelektualn_,5.4.1. Wsparcie na uzyskanie/realizacj_ ochrony w_asno_ci przemys_owej,"22,760.00","14,157.27",2008,2009
"ACTIVEMED TOMASZ BANIAK, KRZYSZTOF MUSIA_ SPÓ_KA JAWNA",Dywersyfikacja oferty produktowej poprzez wdro_enie innowacyjnej technologii Digital Signage w przedsi_biorstwie Activemed.,Regionalny Program Operacyjny Województwa Dolno_l_skiego,1.1. Inwestycje dla przedsi_biorstw,,"160,308.00","43,455.98",2008,2009
Activis Polska Sp. z o. o. ,Opracowanie i wdro_enie sprz_tu do uruchomienia nowej us_ugi internetowej - PKWiU 64.20.15.,Program Operacyjny Innowacyjna Gospodarka,1.4. Wsparcie projektów celowych,,"621,446.15","244,984.23",2008,2009
ACUS CONSULTING Piotr Stefaniuk,Brukarz - tak - wiemy te_ jak,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"366,992.39","331,113.04",2008,2009
ACUS Consulting Piotr Stefaniuk,Fach nowy - spec od budowy,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"200,447.75","174,147.79",2008,2009
"AD ART Andrzej Drozdowski, Krystyna Drozdowska","Udzia_ w mi_dzynarodowych targach bursztynu, bi_uterii i kamieni jubilerskich Amberif 2009 w Gda_sku",Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, ma_e i _rednie przedsi_biorstwa",1.1.1. Mikroprzedsi_biorstwa,"11,754.30","5,768.99",2008,2009
Ad Infinitum,J_zyk angielski - klucz do poznawania _wiata,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"18,010.00","17,810.25",2008,2009
"Adam Sierzan, Tomasz Pasicz prowadz_cy dzia_alno__ gospodarcz_ w formie spó_ki cywilnej pod nazw_ ""PS s.c. Adam Sierzan Tomasz Pasicz""",Wzrost mi_dzynarodowej konkurencyjno_ci firmy PS S.C. Adam Sierzan Tomasz Pasicz poprzez wdro_enie innowacyjnej  na skal_ kraju technologii plazmowego ci_cia blach do procesu produkcyjnego namiotów halowych,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsi_biorczo_ci,,"353,800.00","165,570.00",2008,2009
"Adam S_awi_ski ""Drogmas'' Zak_ad Robót Drogowych ",Unowocze_nienie technologii budowy dróg i nowa us_uga jako efekt wdro_enia innowacji procesowej i produktowej w celu podniesienia konkurencyjno_ci przedsi_biorstwa na rynku krajowym.,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"1,247,634.59","317,520.00",2008,2009
Advanced Business Services Jacek Skupin,Rozwój przedsi_biorstwa Advanced Business Services Jacek Skupin poprzez eksport.,Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"12,500.00","10,000.00",2009,2009
Advanced Technologies Center OBR _WIDNIK Sp. z  o. o.,Sporz_dzenie przez zewn_trznego wykonawc_ PLANU ROZWOJU EKSPORTU dla Advanced Technologies Center OBR _WIDNIK Sp. z  o. o.,Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"18,300.00","10,000.00",2009,2009
Advisor Consulting Daniel Budaj,Barcja - Obszar Aktywnych,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"49,623.20","47,689.08",2008,2009
Advisor Consulting Daniel Budaj,Profesjonalista rozlicze_ VAT,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"568,177.00","522,021.77",2008,2009
Advisor Consulting Daniel Budaj,Lokalna inicjatywa edukacyjna na rzecz aktywizacji _rodowisk wiejskich i wzmocnienia potencja_u absorpcji _rodków UE w gminie wiejskiej K_trzyn,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,247.20","49,198.38",2008,2008
Advisor Consulting Daniel Budaj,Lokalna inicjatywa edukacyjna na rzecz aktywizacji _rodowisk wiejskich i wzmocnienia potencja_u absorpcji _rodków UE w gminie wiejskiej Barciany,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,247.20","49,243.92",2008,2008
Aeroklub Lubelski w Radawcu,Dni Edukacji Lotniczej,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,970.00","49,947.46",2008,2009
Aesthetica Dermadent Spó_ka z ograniczon_ odpowiedzialno_ci_,Wzrost konkurencyjno_ci Aesthetica Dermadent  Sp. z o.o. poprzez uruchomienie innowacyjnego Studia Stomatologii,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"547,282.00","200,000.00",2008,2009
"Agencja ""SOLARIS"" s.c. Ma_gorzata Piasecka, Ma_gorzata Sedenko","Zwi_kszenie konkurencyjno_ci AGENCJI ""SOLARIS"" poprzez rozbudow_ wydawnictwa",Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.9. Inne inwestycje w przedsi_biorstwa,"784,179.40","321,105.27",2008,2009
"Agencja Konsultingowo-Edukacyjna ""ORDO"" sp. z o.o.",Studium Profesjonalnego Masa_u,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"242,486.00","242,448.47",2007,2009
"Agencja Konsultingowo-Edukacyjna ""ORDO"" sp. z o.o.",Studium informatyki w s_u_bie zdrowia,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"183,932.00","180,448.58",2007,2009
"Agencja Muzyczna ""Union"" Rados_aw Bogda_ski","Multimedialne Okno na _wiat Podlasia
",Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsi_biorstw,1.4.1 Mikroprzedsi_biorstwa,"305,000.00","125,000.00",2008,2009
"Agencja Ochrony ""Piorun"" Ma_gorzata Ole_, Mariusz Burdalski",Prawo jazdy kat. C szans_ rolników powiatów elbl_skiego i piskiego,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.2 Wsparcie procesów adaptacyjnych i modernizacyjnych w regionie,"117,056.00","116,411.66",2008,2009
"Agencja Reklamowa ""Victoria""",Integracja szans_ dla wszystkich.,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"50,000.00","50,000.00",2008,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""
",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wiecej - mo_esz wiecej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wi_cej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Widz_c wi_cej -  mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
Agencja Reklamowa MIRWAL-ART Sp. z o.o.,"""Wiedz_c wiecej - mo_esz wi_cej""",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2008
