Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
LANDSCHAFTSAPOTHEKE  MAG. MARGRIT SMOLNIKER,Qualifizierung für Beschäftigte,527,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDSCHAFTSPFLEGE SCHMIDATAL,Landschaftspflege 2007 ,"582,618",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDSMANN-CHEMIE GENERALVERTRETUNG CHEMIEKALIEN,Qualifizierung für Beschäftigte,"1,009",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDZEIT RESTAURANT BETRIEB GMBH,Qualifizierung für Beschäftigte,160,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANG & OBERMANN  STEUERBERATUNGS GMBH,Qualifizierung für Beschäftigte,"2,409",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANG ECKEHARD ING. METALLBAU GESMBH,Qualifizierung für Beschäftigte,"1,030",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANG ERWIN,Qualifizierung für Beschäftigte,193,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANG GERHARD PERSONALSERVICE,Qualifizierung für Beschäftigte,295,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANG JOHANNES,Qualifizierung für Beschäftigte,867,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANGER GMBH,Qualifizierung für Beschäftigte,269,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANGER HEINZ STEUERBERATUNGS GMBH,Qualifizierung für Beschäftigte,394,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANGMAIR SCHNITTPUNKT,Qualifizierung für Beschäftigte,367,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAPP AUSTRIA GMBH,Qualifizierung für Beschäftigte,312,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LASER & MORE  EDELSTAHL KOMPONENTENFERTIGUNGSGES.M.B.,Qualifizierung für Beschäftigte,"4,492",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LASSACHER KARL  REMAX SUN,Qualifizierung für Beschäftigte,"1,214",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LASSELSBERGER GMBH,Qualifizierung für Beschäftigte,500,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LASSMANN DR. SILVIE,Qualifizierung für Beschäftigte,441,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAST & CO,Qualifizierung für Beschäftigte,627,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAUERMANN THOMAS DR.,Qualifizierung für Beschäftigte,"2,010",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAUFEN AUSTRIA AG,Qualifizierung für Beschäftigte,"7,593",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAUFEN AUSTRIA AG  WERK GMUNDEN,Qualifizierung für Beschäftigte,520,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAURENTIUS APOTHEKE,Qualifizierung für Beschäftigte,"5,100",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAURINIA TREUHAND,Qualifizierung für Beschäftigte,420,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAVITA - LEBEN,Qualifizierung für Beschäftigte,540,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAWOG GMBH,Qualifizierung für Beschäftigte,"1,253",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LBG DRASCHTAK &  PARTNER STEUERBERATUNG UND WIRTSCHAFTSPRÜFUNG GMBH,Qualifizierung für Beschäftigte,"2,033",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LBG WIRTSCHAFTSTREUHAND U.  BERATUNGS GMBH,Qualifizierung für Beschäftigte,"5,504",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LE DUIGOU GMBH,Qualifizierung für Beschäftigte,"1,481",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LE FIGARO  KARIN BAUMGARTNER,Qualifizierung für Beschäftigte,376,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LE FIGARO - WEISL GMBH,Qualifizierung für Beschäftigte,"3,010",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEAR CORPORATION AUSTRIA  GESMBH,Qualifizierung für Beschäftigte,"2,273",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEASEPLAN ÖSTERREICH  FUHRPARKMANAGEMENT GMBH,Qualifizierung für Beschäftigte,"12,931",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBEN MIT ZUKUNFT ADELSMAYRHOF,Qualifizierung für Beschäftigte,"1,023",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE  BEZIRK  MÜRZZUSCHLAG,Qualifizierung für Beschäftigte,818,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE  BEZIRK JUDENBURG,Qualifizierung für Beschäftigte,"1,885",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE  GESCHÄFTSFÜHRUNG DES BEZIRKS BRUCK/MUR,Qualifizierung für Beschäftigte,"2,805",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE ENNSTAL,Qualifizierung für Beschäftigte,"1,269",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE GRAZ + UMGEBUNG  VOITSBERG,Qualifizierung für Beschäftigte,"13,706",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE KNITTELFELD,Qualifizierung für Beschäftigte,"1,383",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE KÄRNTEN GEMEINNÜTZIGE BETRIEBS GMBH,Qualifizierung für Beschäftigte,"23,858",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE NÖ  GEMEINNÜTZIGE GMBH,Qualifizierung für Beschäftigte,663,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE RADKERSBURG,Qualifizierung für Beschäftigte,"10,333",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE SALZBURG  GEMEINNÜTZIGE GMBH,QV – Koordination ,"9,469",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE SALZBURG  GEMEINNÜTZIGE GMBH,Qualifizierung für Beschäftigte,"4,283",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE SALZBURG  GEMEINNÜTZIGE GMBH,Qualifizierungsverbund ,"4,200",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE STEIERMARK SEKTION AUSSEERLAND,Qualifizierung für Beschäftigte,"2,876",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE TIROL  GEMEINNÜTZIGE GESMBH,Qualifizierung für Beschäftigte,"16,675",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE TIROL  GEMEINNÜTZIGE GESMBH,Qualifizierungsverbund ,"17,981",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE TROFAIACH,Qualifizierung für Beschäftigte,427,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE VORARLBERG GMBH,Qualifizierung für Beschäftigte,"31,376",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE VORARLBERG GMBH,Qualifizierungsverbund ,"1,782",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE WEIZ GMBH,Qualifizierung für Beschäftigte,"2,100",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSHILFE WIEN,Qualifizierung für Beschäftigte,712,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBENSQUELL BAD ZELL  GESUNDHEITS- U. WELLNESSZENTRUM GMBH & COKG,Qualifizierung für Beschäftigte,"2,441",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEBESMÜHLBACHER MANFRED,Qualifizierung für Beschäftigte,733,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LECHNER GESMBH,Qualifizierung für Beschäftigte,"1,867",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LECHTALER NATURKÄSEREI,Qualifizierungsverbund ,"1,376",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEDER & SCHUH AKTIENGESELLSCHAFT,Qualifizierung für Beschäftigte,"9,622",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEDERFABRIK HOPFGARTEN GESMBH,Qualifizierung für Beschäftigte,140,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEDERFABRIK VOGL GMBH,Qualifizierung für Beschäftigte,918,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEGGETT & PLATT AUTOMOTIVE GROUP EUROPE SCHUKRA BERNDORF GMBH,Qualifizierung für Beschäftigte,"12,412",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEHAR GESMBH,Qualifizierung für Beschäftigte,"7,222",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEHENAUER KARIN,Qualifizierung für Beschäftigte,623,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEHENER LÖWENAPOTHEKE,Qualifizierung für Beschäftigte,283,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEHNER ALEXANDER ING.,Qualifizierung für Beschäftigte,"5,153",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEHNER INES   IN-STYLE,Qualifizierung für Beschäftigte,267,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEICA MIKROSYSTEME GMBH,Qualifizierung für Beschäftigte,"1,024",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEICHTFRIED FRISUREN GESELLSCHAFT M.B.H,Qualifizierung für Beschäftigte,"5,613",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEIMÜLLER BÄCKEREI GMBH & CO,Qualifizierung für Beschäftigte,"16,968",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEINER RUDOLF GES.M.B.H,Qualifizierung für Beschäftigte,"11,783",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEINER RUDOLF GESMBH,Qualifizierung für Beschäftigte,309,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEISURE AND PLEASURE MODEVERTRIEBS GMBH,Qualifizierung für Beschäftigte,880,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITGEB FRANZ DR.,Qualifizierung für Beschäftigte,359,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITL BETON GESMBH & CO KG,Qualifizierung für Beschäftigte,365,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITL SPANNTON GMBH,Qualifizierung für Beschäftigte,"1,197",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITNER & LEITNER  UNTERNEHMENSBERATUNG GMBH&COKEG,Qualifizierung für Beschäftigte,"1,300",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITNER + LEITNER  AUDIT PARTNERS GMBH & CO KG,Qualifizierung für Beschäftigte,"1,032",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITNER + LEITNER  GMBH & CO KG,Qualifizierung für Beschäftigte,"8,108",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITNER + LEITNER  STEUERBERATUNG GMBH,Qualifizierung für Beschäftigte,"1,689",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITNER BAUTECHNIK GMBH,Qualifizierung für Beschäftigte,"1,317",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITNER FRANZ,Qualifizierung für Beschäftigte,"1,360",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITNER MONIKA,Qualifizierung für Beschäftigte,247,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITNER WOMAN SONJA LEITNER,Qualifizierung für Beschäftigte,"1,375",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEITZ GMBH & CO KG,Qualifizierung für Beschäftigte,"6,392",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEKKERLAND  HANDELS- UND DIENSTLEISTUNGS AG,Qualifizierung für Beschäftigte,"2,346",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LENDL HOTEL KG,Qualifizierung für Beschäftigte,368,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LENGLER RITAHOTEL RITA,Qualifiziernugsverbund ,392,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LENHARD BARBARA DR.,Qualifizierung für Beschäftigte,632,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LENHARDT GMBH,Qualifizierung für Beschäftigte,"2,457",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LENTIA MARMOR  NATURSTEIN GMBH,Qualifizierung für Beschäftigte,"1,933",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LENZING AG,Qualifizierung für Beschäftigte,"11,838",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LENZING TECHNIK GMBH,Qualifizierung für Beschäftigte,"1,541",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEOBERSDORFER MASCHINENFABRIK GMBH & CO.KG,Qualifizierung für Beschäftigte,"14,392",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LEONHARDSBERGER CHRISTIAN GESMBH,Qualifizierung für Beschäftigte,461,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
