BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
META PERFORMANCE SL,Mejorar la empleabilidad de,"434,42"
META4 SPAIN SA,Mejorar la empleabilidad de,"6.807,53"
METACOR ACTIVE S.L.U.,Mejorar la empleabilidad de,"4.925,84"
"METACRILATS FUTURA, S.L.",Mejorar la empleabilidad de,"415,51"
METADIAZ SL,Mejorar la empleabilidad de,"295,08"
"METAENLACE SISTEMAS DE INFORMACION, SL",Mejorar la empleabilidad de,"1.888,96"
"METAFASE, PROFESIONALES DE VENTA EXTERNA SL",Mejorar la empleabilidad de,"10.014,20"
"METAFISICA DEL TERCER MILENIO EDITORES, SL",Mejorar la empleabilidad de,"1.425,00"
METAFORGE SL,Mejorar la empleabilidad de,"224,26"
METAFORUM SL,Mejorar la empleabilidad de,"1.667,80"
"METAFRASI, TRADUCCIO I COMUNICACIO,S.L.",Mejorar la empleabilidad de,"96,57"
METAGRAF SA,Mejorar la empleabilidad de,"2.588,11"
METAGRIN SL,Mejorar la empleabilidad de,"159,84"
"METAL ALIMENTARIA, SL",Mejorar la empleabilidad de,"422,22"
"METAL ALUMINA Y CIRCONIO, S.L.",Mejorar la empleabilidad de,"1.058,05"
METAL APOTHEKA SA,Mejorar la empleabilidad de,"1.856,66"
METAL ASTRA SDAD. COOP. GALLEGA,Mejorar la empleabilidad de,"4.846,66"
"METAL CONSTRUCCION Y AFINES DE LA UGT, FEDERACION ESTAT",Mejorar la empleabilidad de,"2.749,96"
METAL DISENO Y MODELOS S.L.,Mejorar la empleabilidad de,"799,69"
"METAL FLOW, SA",Mejorar la empleabilidad de,"1.791,31"
"METAL GARDEN, S.L.",Mejorar la empleabilidad de,"122,77"
METAL HERMIC S.L. UNIPERSONAL,Mejorar la empleabilidad de,"619,98"
"METAL INPASS, SL",Mejorar la empleabilidad de,"226,54"
"METAL MARTIL, SL",Mejorar la empleabilidad de,"636,63"
METAL MOAÑA,Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del,"2.742,86"
"METAL PERFORMERS, SA",Mejorar la empleabilidad de,"1.112,69"
"METAL POWER, S.L.",Mejorar la empleabilidad de,"73,33"
METAL PUJOS S.L.,Mejorar la empleabilidad de,"901,77"
METAL SISCO S.L.,Mejorar la empleabilidad de,"1.040,02"
METAL SPEC SLU,Mejorar la empleabilidad de,"1.122,94"
"METAL TARIEGO, S.L.U.",Mejorar la empleabilidad de,"867,70"
METAL TARSICIO MELIAN SL UNIPERSONAL,Mejorar la empleabilidad de,"2.046,61"
METAL UNION SCL,Mejorar la empleabilidad de,"1.401,94"
METAL VISO SL,Mejorar la empleabilidad de,"2.829,99"
METAL WORKS SOLUTIONS,Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,"2.413,41"
METAL.LICS CABRATOSA SL,Mejorar la empleabilidad de,"1.500,00"
"METAL.LIQUES AUTOPORTA, S.L.",Mejorar la empleabilidad de,"375,46"
METAL.LIQUES BERNAUS SL,Mejorar la empleabilidad de,"448,53"
"METAL.LIQUES CARDONA, SL",Mejorar la empleabilidad de,"1.246,62"
"METAL.LIQUES JORDI, SL",Mejorar la empleabilidad de,"450,00"
METAL.LIQUES LA SELVA SL,Mejorar la empleabilidad de,"1.079,92"
"METAL.LIQUES ORION, S.L.",Mejorar la empleabilidad de,"2.171,74"
"METAL.LURGIA CENTRE CATALUNYA, SL",Mejorar la empleabilidad de,"1.303,13"
"METAL.LURGIES EFRA, CB",Mejorar la empleabilidad de,"224,34"
METAL.LURGIQUES INOXIDABLES DE BALEARS SL,Mejorar la empleabilidad de,"253,18"
"METALAN SERVCIOS AUXILIARES DE FUNDICION, S.L.",Mejorar la empleabilidad de,"351,11"
METALART GALERY SL,Mejorar la empleabilidad de,"472,16"
METALARTE SA,Mejorar la empleabilidad de,"1.670,84"
METALAST SA SOCIEDAD UNIPERSONAL,Mejorar la empleabilidad de,"23.259,90"
"METALBAGES, SA",Mejorar la empleabilidad de,"1.500,00"
"METALBELO, S.L. UNIPERSONAL",Mejorar la empleabilidad de,"1.086,58"
METALBEMA SL,Mejorar la empleabilidad de,"1.133,39"
"METALBIDE, S.L.",Mejorar la empleabilidad de,"835,80"
METALBIEN SL,Mejorar la empleabilidad de,"46,62"
"METALCA TRANSFORMADOS, S.L.",Mejorar la empleabilidad de,"962,03"
METALCO SA,Mejorar la empleabilidad de,"4.798,72"
METALCONFORT SCL,Mejorar la empleabilidad de,"400,00"
"METALCRIS JOSE MARTINEZ, SL",Mejorar la empleabilidad de,"40,00"
METALDEZA,Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,"14.066,40"
METALERIAS FINAS FEDERICO FERRER SA,Mejorar la empleabilidad de,"9.378,47"
METALES ALCAZAR SL,Mejorar la empleabilidad de,"406,59"
"METALES APLICADOS EN XERAL,S.L.",Mejorar la empleabilidad de,"1.361,95"
METALES BASETXE SL,Mejorar la empleabilidad de,"682,26"
METALES DE ELGOIBAR FUNDICIONES SL,Mejorar la empleabilidad de,"1.700,00"
METALES DUROS Y ANTIABRASIVOS SL,Mejorar la empleabilidad de,"1.266,73"
"METALES DVP, SL",Mejorar la empleabilidad de,"1.323,33"
"METALES EXTRUIDOS BARCELONA, SL",Mejorar la empleabilidad de,"4.440,00"
"METALES FRAGMENTADOS, S.A.",Mejorar la empleabilidad de,"7.088,66"
"METALES JAIFER, SL",Mejorar la empleabilidad de,"1.087,65"
METALES LINAN S.L.,Mejorar la empleabilidad de,"226,51"
"METALES PERSONALIZADOS, S.L.",Mejorar la empleabilidad de,"696,67"
METALES RECUPERADOS GONZALEZ SL,Mejorar la empleabilidad de,"175,44"
METALES SOLER SL,Mejorar la empleabilidad de,"1.193,24"
METALES TRABAJADOS VALENCIANOS SL,Mejorar la empleabilidad de,"1.023,31"
"METALES UNZUETA II, SL",Mejorar la empleabilidad de,"1.266,73"
"METALES VAZVEI, S.L.",Mejorar la empleabilidad de,"1.344,16"
METALES VELA SL,Mejorar la empleabilidad de,"2.093,01"
METALES VILCOR SL,Mejorar la empleabilidad de,"84,43"
"METALES Y FORMAS, SL",Mejorar la empleabilidad de,"293,18"
"METALES Y PLASTICOS MIRA, SL",Mejorar la empleabilidad de,"1.056,61"
"METALFYN RECUPERACIONES, S.L.",Mejorar la empleabilidad de,"696,67"
METALGRUP SA,Mejorar la empleabilidad de,"866,60"
METALHER SL,Mejorar la empleabilidad de,"1.719,96"
METALIBERICA SAU,Mejorar la empleabilidad de,"716,65"
"METALIC TRACE, SL",Mejorar la empleabilidad de,"793,24"
METALICA INDUSTRIAL Y DECORATIVA SL,Mejorar la empleabilidad de,"890,00"
METALICAS 2001 SL,Mejorar la empleabilidad de,"124,39"
METALICAS ALBAROS SL,Mejorar la empleabilidad de,"593,30"
METALICAS ALJUSAN SL,Mejorar la empleabilidad de,"1.900,00"
METALICAS ALKOR SAL,Mejorar la empleabilidad de,"1.862,55"
"METALICAS ALUMADUR, S.L.",Mejorar la empleabilidad de,"361,22"
METALICAS AULE SL,Mejorar la empleabilidad de,"203,23"
METALICAS BAC; SL,Mejorar la empleabilidad de,"1.266,73"
METALICAS BMM SA,Mejorar la empleabilidad de,"833,30"
METALICAS BOLINGO SL,Mejorar la empleabilidad de,"552,15"
METALICAS BUJAN SL,Mejorar la empleabilidad de,"956,19"
"METALICAS CASTILLA, COM. B.",Mejorar la empleabilidad de,"1.684,20"
METALICAS DOMINGUEZ SL,Mejorar la empleabilidad de,"1.398,60"
"METALICAS ESPANOL AMOROS,S.L.",Mejorar la empleabilidad de,"3.293,24"
METALICAS ESTRUMAR SA,Mejorar la empleabilidad de,"2.391,10"
"METALICAS EZKAROZ, S.L.",Mejorar la empleabilidad de,"184,46"
METALICAS EZKIO SL,Mejorar la empleabilidad de,"3.135,46"
METALICAS F ORELLANA SL,Mejorar la empleabilidad de,"531,20"
METALICAS FERGAN SL,Mejorar la empleabilidad de,"680,02"
"METALICAS FERROAL DE DAIMIEL, S.L.U.",Mejorar la empleabilidad de,"1.244,46"
METALICAS FOTAR,Mejorar la empleabilidad de,"56,61"
METALICAS GANGES SL,Mejorar la empleabilidad de,"132,23"
METALICAS GAYPU SL,Mejorar la empleabilidad de,"726,64"
METALICAS GOMARIZ SL,Mejorar la empleabilidad de,"1.343,38"
"METALICAS GS, SL",Mejorar la empleabilidad de,"68,37"
METALICAS J.C. TALENS S.L.,Mejorar la empleabilidad de,"165,28"
METALICAS JULIO GARCIA S.L.,Mejorar la empleabilidad de,"1.016,65"
METALICAS LAZARO SL,Mejorar la empleabilidad de,"495,00"
METALICAS LOPEZ ALBARELLO SL,Mejorar la empleabilidad de,"1.788,88"
METALICAS LOS LINAJES SL,Mejorar la empleabilidad de,"1.071,16"
"METALICAS LUIS, SL",Mejorar la empleabilidad de,"2.416,55"
METALICAS MACA 2002 SLL,Mejorar la empleabilidad de,"2.085,18"
METALICAS MAGUISA S.L.,Mejorar la empleabilidad de,"400,00"
"METALICAS MANUEL Y SERGIO, S.L.",Mejorar la empleabilidad de,"559,94"
"METALICAS MARITAL, SL",Mejorar la empleabilidad de,"3.166,52"
METALICAS NOGUERA SL,Mejorar la empleabilidad de,"1.639,96"
METALICAS POLO SL,Mejorar la empleabilidad de,"164,46"
"METALICAS PRAVIANAS, S.L.",Mejorar la empleabilidad de,"326,62"
METALICAS RUANO Y BENITO SL,Mejorar la empleabilidad de,"245,55"
METALICAS SAN NICOLAS COTO SL,Mejorar la empleabilidad de,"266,61"
"METALICAS SERRAFOR, SL",Mejorar la empleabilidad de,"709,15"
"METALICAS TARANCON, S.L.",Mejorar la empleabilidad de,"1.600,00"
METALICAS TECNOART SL,Mejorar la empleabilidad de,"1.047,82"
METALICAS VELASCO SL,Mejorar la empleabilidad de,"1.795,07"
"METALICAS VIVERO, SL",Mejorar la empleabilidad de,"673,26"
"METALICOR,C.B.",Mejorar la empleabilidad de,"200,01"
METALINOX BILBAO SA,Mejorar la empleabilidad de,"1.131,17"
METALISTERIA ALBERTO SL,Mejorar la empleabilidad de,"382,19"
METALISTERIA ALMANSENA SL,Mejorar la empleabilidad de,"1.879,94"
METALISTERIA CAMEYNOX DISENO MOBILIARIO SL,Mejorar la empleabilidad de,"642,14"
"METALISTERIA CANTABRIA, SL",Mejorar la empleabilidad de,"1.557,60"
"METALISTERIA GALLARDO MONTERO, S.L.",Mejorar la empleabilidad de,"517,02"
"METALISTERIA GENERALIFE, S.L",Mejorar la empleabilidad de,"849,90"
"METALISTERIA I MUNTATGES MIT,S.L.",Mejorar la empleabilidad de,"436,61"
METALISTERIA MALLORCA NUEVE DE JUNIO S.L.,Mejorar la empleabilidad de,"277,64"
"METALISTERIA MECRIMAR, SL",Mejorar la empleabilidad de,"303,23"
"METALISTERIA MEDITERRANEO,SL",Mejorar la empleabilidad de,"1.197,00"
METALISTERIA MOLEON SL,Mejorar la empleabilidad de,"592,50"
"METALISTERIA PLAZA, SL",Mejorar la empleabilidad de,"466,60"
"METALISTERIA PROINOX,S.L.L.",Mejorar la empleabilidad de,"424,47"
METALISTERIA RIJOFER SL,Mejorar la empleabilidad de,"544,39"
METALISTERIA SAMPER SLL,Mejorar la empleabilidad de,"1.251,31"
"METALISTERIA SANCHEZ, SL",Mejorar la empleabilidad de,"666,60"
"METALISTERIA SOLVALLES, SL",Mejorar la empleabilidad de,"813,32"
METALISTERIA VEGA BAJA SL,Mejorar la empleabilidad de,"733,30"
"METALISTERIA Y SERRALLERIA ORTIZ Y CANO, SL",Mejorar la empleabilidad de,"83,25"
METALISTERIA ZUBI-MET SL,Mejorar la empleabilidad de,"13,33"
METALISTERIAS RIOJALUMINIO SL,Mejorar la empleabilidad de,"1.449,99"
"METALIZARD, S.L.",Mejorar la empleabilidad de,"6.427,73"
"METALL POLIT, SL",Mejorar la empleabilidad de,"309,99"
"METALL VERTICAL,S.L.",Mejorar la empleabilidad de,"19,98"
METALL-HABIT SL,Mejorar la empleabilidad de,"3.033,37"
"METALLIED POWDER SOLUTIONS, S.A.",Mejorar la empleabilidad de,"1.827,39"
"METAL-LIQUES DNAITONA, SL",Mejorar la empleabilidad de,"588,86"
METAL-LIQUES GAUDI,Mejorar la empleabilidad de,"1.900,00"
"METALL-LOGIC, SL",Mejorar la empleabilidad de,"1.900,00"
METALLS ALCOLEA SL,Mejorar la empleabilidad de,"334,65"
"METALLS ARTMONT,S.L.",Mejorar la empleabilidad de,"927,65"
METAL-LU BORGES SL,Mejorar la empleabilidad de,"3.166,73"
"METALMADERA VALLES, SL",Mejorar la empleabilidad de,"1.161,42"
"METALMALLA ELECTROSOLDADOS,S.A.",Mejorar la empleabilidad de,"728,86"
METALMATIC SL,Mejorar la empleabilidad de,"1.126,50"
"METAL-MECANICA DEL INOX, SL",Mejorar la empleabilidad de,"1.000,00"
METALMECANICAS HERJIMAR.SL,Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,"14.479,47"
"METALMIR BALEAR, SL",Mejorar la empleabilidad de,"400,00"
"METALMON 2006, S.L.",Mejorar la empleabilidad de,"1.069,83"
METALNAVARRO CERRAJEROS SLL,Mejorar la empleabilidad de,"631,11"
METALNOFER SL,Mejorar la empleabilidad de,"549,95"
METALNOX BALEAR SL,Mejorar la empleabilidad de,"595,44"
METALOCAUCHO SL,Mejorar la empleabilidad de,"708,27"
METALOCER SL,Mejorar la empleabilidad de,"539,96"
"METALOCONSTRUCCIONES MECOSA, SL",Mejorar la empleabilidad de,"1.033,30"
METALPAN SA,Mejorar la empleabilidad de,"508,80"
"METALPANEL, SA",Mejorar la empleabilidad de,"682,26"
METALPLAS RROSSO SL,Mejorar la empleabilidad de,"391,07"
METALPRES SANT FELIU SL EN CONSTITUCION,Mejorar la empleabilidad de,"1.401,27"
"METALPRINSA, S.L.",Mejorar la empleabilidad de,"1.593,02"
"METALPYM, SL",Mejorar la empleabilidad de,"1.000,00"
METALQUIMIA SA,Mejorar la empleabilidad de,"400,00"
"METALSA SISTEMAS DE ALUMINIO, SL",Mejorar la empleabilidad de,"404,46"
"METALSAN LUCENTINA,S.L.",Mejorar la empleabilidad de,"1.344,36"
"METALSUMA,S.L.",Mejorar la empleabilidad de,"796,80"
METALTECNIC CAMPOS SL,Mejorar la empleabilidad de,"4.745,53"
"METALTEFOR, SL.",Mejorar la empleabilidad de,"377,75"
METALTODO SL,Mejorar la empleabilidad de,"99,97"
METALUMINIO SA,Mejorar la empleabilidad de,"2.400,00"
METALURGIA PONS SINTES I PETRUS SL,Mejorar la empleabilidad de,"2.600,04"
METALURGIA Y CARROCERIAS SL,Mejorar la empleabilidad de,"677,59"
"METALURGICA ARANDES, SL",Mejorar la empleabilidad de,"2.909,28"
METALURGICA CEMBRANOS SA,Mejorar la empleabilidad de,"349,85"
"METALURGICA CIMER, SL",Mejorar la empleabilidad de,"1.459,94"
METALURGICA COMERCIAL CUHER SA,Mejorar la empleabilidad de,"179,89"
METALURGICA CUEVAS SL,Mejorar la empleabilidad de,"4.953,08"
METALURGICA DE BENGOETXE SA,Mejorar la empleabilidad de,"2.323,11"
"METALURGICA DE LA RIA, S.L",Mejorar la empleabilidad de,"1.917,21"
METALÚRGICA DE LA RÍA. S.L.,Mejorar la empleabilidad de,"6.293,36"
METALURGICA DE SIERRAS SL,Mejorar la empleabilidad de,"44,40"
METALURGICA DEL INOXIDABLE SL,Mejorar la empleabilidad de,"1.978,06"
"METALURGICA ESMAR, SL",Mejorar la empleabilidad de,"299,90"
"METALURGICA FOLCH,S.L.",Mejorar la empleabilidad de,"242,58"
"METALURGICA GARCIA CEREZUELA, SL",Mejorar la empleabilidad de,"1.111,15"
METALURGICA GBL SL,Mejorar la empleabilidad de,"1.516,65"
"METALURGICA HAKENSA CANTABRIA, S.L.",Mejorar la empleabilidad de,"2.619,58"
METALURGICA JARAES SLL,Mejorar la empleabilidad de,"925,48"
METALURGICA MANCHEGA MIALCHE SLL,Mejorar la empleabilidad de,"464,47"
METALURGICA NAVACERRADA SA,Mejorar la empleabilidad de,"935,53"
METALURGICA OLOTENSE SA,Mejorar la empleabilidad de,"1.264,44"
METALURGICA ROS SA,Mejorar la empleabilidad de,"3.679,43"
METALURGICA ROSAN SL,Mejorar la empleabilidad de,"2.118,82"
METALURGICA TORRENT SA,Mejorar la empleabilidad de,"1.627,75"
METALURGICAS CATALANOARAGONESAS;S.L.,Mejorar la empleabilidad de,"2.762,97"
METALURGICAS HERRERO SL,Mejorar la empleabilidad de,"124,32"
METALURGICAS IRUNA SA,Mejorar la empleabilidad de,"29,97"
"METALURGICAS JOLYMAR, S.L.",Mejorar la empleabilidad de,"662,75"
METALURGICAS PABUR SL,Mejorar la empleabilidad de,"1.666,60"
METALURGICAS RUHER SL,Mejorar la empleabilidad de,"1.522,10"
"METALURGICAS SOTO, S.L.",Mejorar la empleabilidad de,"1.806,75"
"METALURGICAS TE-BA, SL.",Mejorar la empleabilidad de,"1.000,00"
METALURGICAS TORRENS SA,Mejorar la empleabilidad de,"1.459,84"
"METALURGICAS Y SEGURIDAD ALVAREZ, SL",Mejorar la empleabilidad de,"555,56"
"METALUX ASTURIAS, SL",Mejorar la empleabilidad de,"1.824,98"
METALVEDRO SL,Mejorar la empleabilidad de,"3.779,72"
"METALWORK BCN, SL",Mejorar la empleabilidad de,"4,44"
"METALWORKS ENGINEERING, S.L.",Mejorar la empleabilidad de,"3.021,00"
METAMA SL,Mejorar la empleabilidad de,"864,06"
METAODOS S.L,Mejorar la empleabilidad de,"675,00"
"META-PHARMACEUTICAL INDUSTRIAL, SL",Mejorar la empleabilidad de,"238,42"
"METARCH ARCHITECTURAL PANELS, SA",Mejorar la empleabilidad de,"792,52"
METARRIO SL,Mejorar la empleabilidad de,"1.153,39"
METASA SL,Mejorar la empleabilidad de,"1.265,50"
METASEQUIA SL,Mejorar la empleabilidad de,"1.336,67"
"METASINT INJECTION MOULDING, S.L.",Mejorar la empleabilidad de,"1.193,33"
"METAVA TELECOMUNICACIONES, S.L.EMPRESA EN FORMACION",Mejorar la empleabilidad de,"166,60"
METAZINCO AISLANT SA,Mejorar la empleabilidad de,"4.422,66"
METAZINCO GRUPO SA,Mejorar la empleabilidad de,"934,95"
METAZINCO ROCAS S.A.,Mejorar la empleabilidad de,"1.098,45"
"METBAR VIGO 2007, S.L.",Mejorar la empleabilidad de,"217,21"
METBAR-2004 SL,Mejorar la empleabilidad de,"1.206,72"
"METCONPAT, SL",Mejorar la empleabilidad de,"753,28"
"METEC ASESORES Y MEDIADORES, S.L.",Mejorar la empleabilidad de,"784,39"
"METECOR, SL",Mejorar la empleabilidad de,"2.274,44"
METEOLOGICA SA,Mejorar la empleabilidad de,"2.282,25"
"METEOR TRANSPORT URGENT, SL",Mejorar la empleabilidad de,"4.767,44"
METEOTEMP ESPANA SL,Mejorar la empleabilidad de,"1.029,38"
METHA GLAFB CONSULTORES SL,Mejorar la empleabilidad de,"139,30"
"METI 2006, S.L.",Mejorar la empleabilidad de,"174,93"
"METINSA 2006,S.L.",Mejorar la empleabilidad de,"1.900,00"
METINTA SDAD COOP VALENCIANA,Mejorar la empleabilidad de,"429,64"
"METIRTA, SL",Mejorar la empleabilidad de,"926,64"
METIS SL,Mejorar la empleabilidad de,"15.118,05"
"METLAM SUARZ, S.L.",Mejorar la empleabilidad de,"625,64"
"METO2 EUROPA,S.L. (EN FORMACION)",Mejorar la empleabilidad de,"1.176,59"
METODIA LOGISTICA ACTIVA SA,Mejorar la empleabilidad de,"578,44"
"METODO 3, SA",Mejorar la empleabilidad de,"1.900,00"
"METODO CONSTRUCTIVO HABITACIONAL, S.L.",Mejorar la empleabilidad de,"119,71"
METODO SILVA SL,Mejorar la empleabilidad de,"584,32"
"METODO TRIATTES, S.L.",Mejorar la empleabilidad de,"2.125,98"
"METODO TWIGGY,S.L",Mejorar la empleabilidad de,"127,47"
METODOLOGIAS EN PROTECCION Y SEGURIDAD SL,Mejorar la empleabilidad de,"33,30"
METODOS ALBACETE SL,Mejorar la empleabilidad de,"1.343,41"
"METODOS CARTESIANOS, SA",Mejorar la empleabilidad de,"100,00"
METODOS DE LA CONSTRUCCION MODERNA S.L.,Mejorar la empleabilidad de,"3.562,47"
METODOS GRAFOTEST SL,Mejorar la empleabilidad de,"643,29"
"METODOS OMEGA ALFA,S.L.",Mejorar la empleabilidad de,"379,92"
"METODOS Y DESARROLLOS, SL",Mejorar la empleabilidad de,"1.900,00"
METODOS Y SISTEMAS DIDACTICOS SL,Mejorar la empleabilidad de,"1.266,73"
METODOS Y TECNOLOGIA DE SISTEMAS Y PROCESOS SL,Mejorar la empleabilidad de,"5.633,26"
METRA EXPRESS SL,Mejorar la empleabilidad de,"1.529,02"
"METRA KIT INDUSTRIAL, SL",Mejorar la empleabilidad de,"773,26"
"METRAIN, SL",Mejorar la empleabilidad de,"1.266,73"
"METRAKIT RACING DIVISION, SL",Mejorar la empleabilidad de,"997,76"
"METRALTEC,S.L",Mejorar la empleabilidad de,"1.153,33"
"METRASONI, SL",Mejorar la empleabilidad de,"4,20"
METRATIR ESPA/A SA,Mejorar la empleabilidad de,"100,00"
METRATOR SL,Mejorar la empleabilidad de,"1.222,99"
"METRIA DIGITAL, SL",Mejorar la empleabilidad de,"1.297,73"
METRICA CONSULTING SL,Mejorar la empleabilidad de,"3.383,16"
"METRIKAL, SA",Mejorar la empleabilidad de,"1.266,73"
"METRO 2000, S.L.",Mejorar la empleabilidad de,"581,06"
METRO 3 SA,Mejorar la empleabilidad de,"2.252,84"
METRO CASH CARRY SL,Mejorar la empleabilidad de,"1.700,00"
METRO CUBICO GESTION DE ESPACIO SL,Mejorar la empleabilidad de,"1.425,00"
METRO DE SEVILLA SOCIEDAD CONCESIONARIA DE LA JUNTA DE,Mejorar la empleabilidad de,"838,06"
"METRO JUNT, S.L.",Mejorar la empleabilidad de,"278,57"
METRO KUBIKO 2002 SL,Mejorar la empleabilidad de,"1.266,73"
"METRO LIGERO OESTE, S.A",Mejorar la empleabilidad de,"39.633,38"
METRO MADRID SA,Mejorar la empleabilidad de,"831.671,32"
"METRO NEWS, SL",Mejorar la empleabilidad de,"4.062,94"
METRO UBEDA SL,Mejorar la empleabilidad de,"389,91"
METROBIOCHEM S.L.,Mejorar la empleabilidad de,"2.481,33"
METROCAS PROMOCIONES SL,Mejorar la empleabilidad de,"753,33"
METRODISENO ARQUITECTOS S.L.,Mejorar la empleabilidad de,"931,16"
METRODUERO SL,Mejorar la empleabilidad de,"1.203,33"
METROESTHETIC SL,Mejorar la empleabilidad de,"1.194,64"
METROFI SA,Mejorar la empleabilidad de,"136,63"
"METROLEC, S.L.",Mejorar la empleabilidad de,"2.323,71"
METROLOGIA APLICADA SLL,Mejorar la empleabilidad de,"267,46"
METROLOGIA DEL SURESTE SL,Mejorar la empleabilidad de,"177,74"
METROLOGIC ERIA IBERICA SL,Mejorar la empleabilidad de,"2.025,65"
"METROMAR, SL",Mejorar la empleabilidad de,"606,66"
METROMETRIC SA,Mejorar la empleabilidad de,"461,53"
METROPARK APARCAMIENTOS SA,Mejorar la empleabilidad de,"1.345,77"
"METROPINTURES, S.L.",Mejorar la empleabilidad de,"1.000,05"
METROPOL ARTE Y DECORACION SL,Mejorar la empleabilidad de,"940,22"
METROPOL LLEIDA SL,Mejorar la empleabilidad de,"950,00"
"METROPOLI CREATIVA, S.COOP.",Mejorar la empleabilidad de,"83,40"
METROPOLI CUATRO SL,Mejorar la empleabilidad de,"2.776,40"
METROPOLIS COMIX SL,Mejorar la empleabilidad de,"1.433,53"
"METROPOLIS CONSULTING,S.L.",Mejorar la empleabilidad de,"849,96"
METROPOLIS INVERSIONES BONAIRE SL,Mejorar la empleabilidad de,"2.118,50"
METROPOLIS INVERSIONES VALLADOLID SL,Mejorar la empleabilidad de,"456,72"
"METROPOLIS NETEGES, SL",Mejorar la empleabilidad de,"710,53"
"METROPOLIS OUTSOURCING, SL",Mejorar la empleabilidad de,"1.799,20"
METROPOLIS SA COMPANIA NACIONAL DE SEGUROS Y REASEGUROS,Mejorar la empleabilidad de,"4.825,75"
"METROPOLIS SEGURIDAD Y PROTECCION, SL",Mejorar la empleabilidad de,"909,84"
METROPOLIS SPORT CLUB GIRONA SL,Mejorar la empleabilidad de,"13.838,01"
"METROPOLIS SPORT CLUB PEDRALBES,S.L.",Mejorar la empleabilidad de,"6.130,42"
"METROPOLIS SPORT CLUB RAMON DE LA CRUZ, S.L.",Mejorar la empleabilidad de,"13.289,68"
METROPOLIS SPORT CLUB S.L.,Mejorar la empleabilidad de,"8.640,15"
"METROPOLITAN COURIER, SL",Mejorar la empleabilidad de,"2.718,53"
"METROPOLITAN LAND COMPANY, SL",Mejorar la empleabilidad de,"1.561,56"
"METROPOLITAN MANAGEMENT, SL",Mejorar la empleabilidad de,"2.381,62"
"METROPOLITAN SPAIN, SL",Mejorar la empleabilidad de,"60.738,60"
"METROPOLITAN STANDARD, S.L.",Mejorar la empleabilidad de,"700,00"
METROPOLITAN TARRAGONA-2004 SL,Mejorar la empleabilidad de,"582,36"
METROPOLITANO DE TENERIFE SA,Mejorar la empleabilidad de,"11.762,47"
"METROPOLI-TARAZONA, SL",Mejorar la empleabilidad de,"377,75"
"METRORED MOVIL, S.A.",Mejorar la empleabilidad de,"2.494,83"
METRORED SA,Mejorar la empleabilidad de,"2.826,69"
METROSCOPIA ESTUDIOS SOCIALES Y DE OPINION SL,Mejorar la empleabilidad de,"753,11"
"METROSHOP STORES, SL",Mejorar la empleabilidad de,"106,23"
"METROTECHO, S.L.",Mejorar la empleabilidad de,"325,32"
METROTUBOS S.L.,Mejorar la empleabilidad de,"1.046,46"
METROVACESA SA,Mejorar la empleabilidad de,"4.679,41"
MET-TECNO 2000 SL,Mejorar la empleabilidad de,"1.035,50"
"METU, CB",Mejorar la empleabilidad de,"1.900,00"
"METZ FLOWERS, S.R.L.",Mejorar la empleabilidad de,"1.345,77"
MEVA Y LLORENTE SL,Mejorar la empleabilidad de,"413,15"
"MEVABE, SL",Mejorar la empleabilidad de,"3.975,12"
MEVADA LIMPIEZAS GENERALES SL,Mejorar la empleabilidad de,"396,57"
MEVATECH LEVANTE S.L.,Mejorar la empleabilidad de,"155,63"
MEVET SA,Mejorar la empleabilidad de,"610,00"
MEVITAL DH SL,Mejorar la empleabilidad de,"771,11"
MEVLANA SL,Mejorar la empleabilidad de,"565,67"
"MEVYS JORIN, SL",Mejorar la empleabilidad de,"708,30"
MEXI FOODS SL,Mejorar la empleabilidad de,"1.825,97"
MEXICANO GEORGES SL,Mejorar la empleabilidad de,"2.620,71"
"MEXICO LINDO Y QUE RICO, SL",Mejorar la empleabilidad de,"38,95"
"MEXICO MEDIA AUDITORS, S.L.",Mejorar la empleabilidad de,"676,59"
MEXICO NOROESTE GESTION EMPRESARIAL SL,Mejorar la empleabilidad de,"247,88"
