BENEFICIARIO,TIPO DE OPERACIÓN,PO FSE ADAPTABILIDAD Y EMPLEO
"LOOK DIGITAL PRODUCCIONES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.454,42"
"LOOK GANDUXER, SL",Mejorar a empleabilidad de las personas desempleadas,"4.898,15"
"LOOK PALPEL, SL",Mejorar a empleabilidad de las personas desempleadas,"862,20"
LOOK PLASTIC SL,Mejorar a empleabilidad de las personas desempleadas,"231,38"
"LOOKGRAF CENTER, S.L.",Mejorar a empleabilidad de las personas desempleadas,"767,30"
LOOKING FOR HOUSE 2000 SL,Mejorar a empleabilidad de las personas desempleadas,"943,19"
"LOOKOUT ALERTLY, S.L.",Mejorar a empleabilidad de las personas desempleadas,"939,67"
"LOOMIS SPAIN, S.A",Mejorar a empleabilidad de las personas desempleadas,"3.690,77"
LOOP SL,Mejorar a empleabilidad de las personas desempleadas,"2.069,93"
LOOPING MEDIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.126,73"
LOORANISA SL,Mejorar a empleabilidad de las personas desempleadas,"3.498,93"
LOPACAN ELECTRONICA SL,Mejorar a empleabilidad de las personas desempleadas,"535,51"
LOPAGUA CONSTRUCTORA SL,Mejorar a empleabilidad de las personas desempleadas,"1.789,81"
"LOPAR AVILA, COM.B.",Mejorar a empleabilidad de las personas desempleadas,"495,81"
"LOPE DE VEGA 112,COM.B.",Mejorar a empleabilidad de las personas desempleadas,"743,29"
"LOPERBEN, SL",Mejorar a empleabilidad de las personas desempleadas,"3.221,05"
"LOPESANTA, SL",Mejorar a empleabilidad de las personas desempleadas,"587,88"
LOPESERRA S.C.L.,Mejorar a empleabilidad de las personas desempleadas,"1.097,50"
LOPEZ & BALIBREA SL,Mejorar a empleabilidad de las personas desempleadas,"375,00"
"LOPEZ & FORNAS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"95,53"
"LOPEZ & VALLES ASSOCIATS, SL",Mejorar a empleabilidad de las personas desempleadas,"468,76"
"LOPEZ ALCAZAR-CONTRERAS ABOGADOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"787,93"
LOPEZ ALONSO CB,Mejorar a empleabilidad de las personas desempleadas,"194,74"
LOPEZ ANDRES Y COMPANIA SRC,Mejorar a empleabilidad de las personas desempleadas,"1.743,29"
LOPEZ APARICIO PLAZA SL,Mejorar a empleabilidad de las personas desempleadas,"3.800,00"
"LOPEZ ARXIZ, COM.B.",Mejorar a empleabilidad de las personas desempleadas,"555,42"
"LOPEZ ATIENZA CONSULTORES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"400,00"
LOPEZ BAENA SA,Mejorar a empleabilidad de las personas desempleadas,"1.133,39"
"LOPEZ BALBAS, SL",Mejorar a empleabilidad de las personas desempleadas,"166,67"
"LOPEZ BARCIA ROSA 001124287H, S.L.N.E.",Mejorar a empleabilidad de las personas desempleadas,"793,29"
LOPEZ BAZ CONSTRUCCIONES SL,Mejorar a empleabilidad de las personas desempleadas,"543,59"
LOPEZ BLANCO SA,Mejorar a empleabilidad de las personas desempleadas,"1.029,77"
"LOPEZ BORDERA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"5.524,35"
"LOPEZ CALDERON RAEZ,REBECA Y SANCHEZ CORTAZAR,ANGELES,C",Mejorar a empleabilidad de las personas desempleadas,"280,93"
LOPEZ CAMPILLO SA,Mejorar a empleabilidad de las personas desempleadas,"173,26"
LOPEZ CARRION ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"796,78"
"LOPEZ CASANA CORREDURIA DE SEGUROS, SL",Mejorar a empleabilidad de las personas desempleadas,"733,37"
LOPEZ CASTILLO SA,Mejorar a empleabilidad de las personas desempleadas,"3.166,73"
"LOPEZ CIUDAD, S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"280,87"
LOPEZ COCA HOSTELEROS SL,Mejorar a empleabilidad de las personas desempleadas,"3.463,67"
"LOPEZ CORTE Y PLEGADOS, SL",Mejorar a empleabilidad de las personas desempleadas,"190,92"
LOPEZ CRESTAR Y MONJE SL,Mejorar a empleabilidad de las personas desempleadas,"313,18"
LOPEZ DE ARAGON SL,Mejorar a empleabilidad de las personas desempleadas,"389,55"
"LOPEZ DE SANTIAGO CONSULTORES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.449,61"
"LOPEZ DEL ARCO INGENIEROS CONSULTORES, S.L. UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"66,67"
LOPEZ DELGADO MARILUZ 002291018W S.L.N.E,Mejorar a empleabilidad de las personas desempleadas,"108,85"
LOPEZ DORADO SL,Mejorar a empleabilidad de las personas desempleadas,"312,33"
LOPEZ ECHETO CONFITERIA SL,Mejorar a empleabilidad de las personas desempleadas,"786,38"
LOPEZ ESCUDERO SL,Mejorar a empleabilidad de las personas desempleadas,"551,17"
LOPEZ ESPINOSA DANIEL Y GUILLERMO; COM.B.,Mejorar a empleabilidad de las personas desempleadas,"1.896,57"
"LOPEZ ESTRADA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.346,42"
"LOPEZ FAMILIA, SL",Mejorar a empleabilidad de las personas desempleadas,"11,10"
LOPEZ FANDO Y ASOCIADOS SL,Mejorar a empleabilidad de las personas desempleadas,"271,05"
LOPEZ FARALDOS SOCORRO Y OTRA CB,Mejorar a empleabilidad de las personas desempleadas,"134,02"
"LOPEZ FLOTATS, SL",Mejorar a empleabilidad de las personas desempleadas,"815,11"
"LOPEZ FONTOURA DE CONSTRUCCION, S.L.",Mejorar a empleabilidad de las personas desempleadas,"283,25"
"LOPEZ GALVAN INSTAL-LACIONS, SL",Mejorar a empleabilidad de las personas desempleadas,"631,11"
"LOPEZ GARCIA YORLADY; BERMUDEZ CUADRADO JORGE, C.B.",Mejorar a empleabilidad de las personas desempleadas,"21,71"
LOPEZ GARRIDO COCINAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.093,24"
LOPEZ GASCO REVILLA SL,Mejorar a empleabilidad de las personas desempleadas,"1.154,96"
LOPEZ GONZALEZ CB,Mejorar a empleabilidad de las personas desempleadas,"158,18"
LOPEZ GONZALEZ DIEGO 001134290A S.L.N.E.,Mejorar a empleabilidad de las personas desempleadas,"2.441,97"
"LOPEZ GUTIERREZ, CB",Mejorar a empleabilidad de las personas desempleadas,"66,67"
"LOPEZ HERRAIZ ADVOCATS, SL",Mejorar a empleabilidad de las personas desempleadas,"439,96"
LOPEZ HOPFF INMOBILIARIA SL,Mejorar a empleabilidad de las personas desempleadas,"192,44"
"LOPEZ INIGO, C.B.",Mejorar a empleabilidad de las personas desempleadas,"113,28"
LOPEZ JARABA Y SERRANO SL,Mejorar a empleabilidad de las personas desempleadas,"1.773,87"
LOPEZ JIMENEZ ADMINISTRADORES DE FINCAS SL,Mejorar a empleabilidad de las personas desempleadas,"708,30"
"LOPEZ LEA PROMOCIONES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.193,33"
LOPEZ LI FILMS SL,Mejorar a empleabilidad de las personas desempleadas,"432,06"
"LOPEZ LLANEZA N,MIJARES CANTELI F,GLEZ.SANC.F J.COM.B.;",Mejorar a empleabilidad de las personas desempleadas,"1.425,71"
LOPEZ LOPEZ JOSE LUIS Y FERNANDO LOPEZ GINER ANA CB,Mejorar a empleabilidad de las personas desempleadas,"920,79"
LOPEZ MALDONADO ANA MARIA Y LOPEZ HARO REQUENA ADELA,Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
"LOPEZ MARTINEZ Y ASOCIADOS ASESORES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"432,03"
"LOPEZ MEIZOSO,SL",Mejorar a empleabilidad de las personas desempleadas,"564,83"
LOPEZ MONTEJO SL,Mejorar a empleabilidad de las personas desempleadas,"1.196,67"
LOPEZ MORENAS SL,Mejorar a empleabilidad de las personas desempleadas,"966,36"
LOPEZ NEGRE Y MORANT BOIX S.L.,Mejorar a empleabilidad de las personas desempleadas,"942,01"
LOPEZ NIETO C.B.,Mejorar a empleabilidad de las personas desempleadas,"578,40"
"LOPEZ NIETO CONSULTORES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"192,23"
LOPEZ OCHOA I PASCUAL OSINAGA J Y SOLA JIMENEZ J,Mejorar a empleabilidad de las personas desempleadas,"597,29"
"LOPEZ ORTIZ, DOLORES DEL PILAR 000663034Y S.L.N.E.",Mejorar a empleabilidad de las personas desempleadas,"1.694,53"
LOPEZ PINA SL,Mejorar a empleabilidad de las personas desempleadas,"616,22"
"LOPEZ PUEYO GESTION INMOBILIARIA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"911,32"
LOPEZ REAL INTERIORISMO SL,Mejorar a empleabilidad de las personas desempleadas,"736,67"
LOPEZ RISUENO E HIJOS SL,Mejorar a empleabilidad de las personas desempleadas,"579,92"
"LOPEZ RODRIGUEZ, JOSE ANTONIO 000266748E SLNE",Mejorar a empleabilidad de las personas desempleadas,"568,81"
LOPEZ RUBIO GRAND CLASS SL,Mejorar a empleabilidad de las personas desempleadas,"163,27"
"LOPEZ RUBIO, JORGE JOSE 00959286R S.L.N.E.",Mejorar a empleabilidad de las personas desempleadas,"1.019,94"
"LOPEZ SAN MIGUEL PROYECTOS Y CONSTRUCCIONES, SL",Mejorar a empleabilidad de las personas desempleadas,"493,33"
LOPEZ SANCHEZ ANGEL JOSE 000445994C SLNE,Mejorar a empleabilidad de las personas desempleadas,"716,55"
LOPEZ SANCHEZ FONTANEROS S.L.,Mejorar a empleabilidad de las personas desempleadas,"613,35"
"LOPEZ SANCHEZ-VILLARROLLA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.204,11"
LOPEZ SECO DE HERRERA SL,Mejorar a empleabilidad de las personas desempleadas,"873,53"
"LOPEZ SOTELO EDIFICACIONES DE GALICIA, SL",Mejorar a empleabilidad de las personas desempleadas,"383,40"
"LOPEZ SUBIRES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
"LOPEZ TIERRASECA Y URALZA ABOGADOS, S:L.",Mejorar a empleabilidad de las personas desempleadas,"7,08"
"LOPEZ TORRENT, S.L.",Mejorar a empleabilidad de las personas desempleadas,"306,92"
LOPEZ TOUCEDA ASESORES SL U.P.,Mejorar a empleabilidad de las personas desempleadas,"3.209,04"
"LOPEZ VALLE TRANSPORTES DE GANADO, SL",Mejorar a empleabilidad de las personas desempleadas,"333,35"
"LOPEZ VALLES ASSESSORS, SL",Mejorar a empleabilidad de las personas desempleadas,"758,89"
LOPEZ VICARIO SL,Mejorar a empleabilidad de las personas desempleadas,"862,39"
"LOPEZ Y AINSA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"835,79"
LOPEZ Y ARANDA ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"1.266,73"
LOPEZ Y BALMASEDA SL,Mejorar a empleabilidad de las personas desempleadas,"989,26"
LOPEZ Y CHICO SL,Mejorar a empleabilidad de las personas desempleadas,"640,95"
LOPEZ Y MONTOYA SL,Mejorar a empleabilidad de las personas desempleadas,"280,00"
"LOPEZ Y NAVARRETE ASESORES, SL",Mejorar a empleabilidad de las personas desempleadas,"908,69"
LOPEZ Y NOCI SL,Mejorar a empleabilidad de las personas desempleadas,"743,68"
LOPEZ Y OCANA SA,Mejorar a empleabilidad de las personas desempleadas,"1.203,33"
"LOPEZ Y ORILLE, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.262,29"
"LOPEZ Y PORTERO,C.B",Mejorar a empleabilidad de las personas desempleadas,"993,33"
"LOPEZ Y RODRIGUEZ TIENOCI, S.L.",Mejorar a empleabilidad de las personas desempleadas,"579,92"
"LOPEZ Y SANCHEZ, COM.B.",Mejorar a empleabilidad de las personas desempleadas,"553,33"
"LOPEZ Y SILVESTRE PREFABRICADOS DEL HORMIGON, S.L",Mejorar a empleabilidad de las personas desempleadas,"807,45"
LOPEZ Y TALAVERA HOTELES SL,Mejorar a empleabilidad de las personas desempleadas,"5.954,29"
LOPEZ Y VILLALBA SL,Mejorar a empleabilidad de las personas desempleadas,"1.800,00"
LOPEZ ZUEROS & VILLA FERNANDEZ SL,Mejorar a empleabilidad de las personas desempleadas,"70,83"
LOPEZ&VICENS ASOCIADOS,Mejorar a empleabilidad de las personas desempleadas,"398,39"
"LOPEZ, PALACIOS MUÑOZ ASOCIADOS SL",Mejorar a empleabilidad de las personas desempleadas,"1.050,65"
"LOPEZ,MARTINEZ,SAN ANDRES SL",Mejorar a empleabilidad de las personas desempleadas,"1.689,81"
"LOPEZ-CONTRERAS Y VALBUENA, COM.B.",Mejorar a empleabilidad de las personas desempleadas,"460,46"
LOPEZ-DIAZ ABOGADOS SL,Mejorar a empleabilidad de las personas desempleadas,"75,81"
"LOPEZ-GIMENEZ, ASOCIADOS, CB",Mejorar a empleabilidad de las personas desempleadas,"1.705,66"
LOPEZMAR SL,Mejorar a empleabilidad de las personas desempleadas,"975,04"
LOPEZ-SEQUERA PROYECTOS Y OBRAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.043,29"
LOPEZ-SUEVOS ASOCIADOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.274,99"
"LOPIA SYSTEM, SL",Mejorar a empleabilidad de las personas desempleadas,"1.336,61"
LOPSAL DIET SL,Mejorar a empleabilidad de las personas desempleadas,"1.177,50"
"LOPUJ ES, SL",Mejorar a empleabilidad de las personas desempleadas,"1.274,94"
LOPYBER SL,Mejorar a empleabilidad de las personas desempleadas,"150,00"
"LOQUENOHAY,07,S.L.",Mejorar a empleabilidad de las personas desempleadas,"648,06"
LOQUIZ ELECTRODOMESTICOS SL,Mejorar a empleabilidad de las personas desempleadas,"660,56"
LOR BENI SLL,Mejorar a empleabilidad de las personas desempleadas,"575,45"
LOR YAK PARQUESOL S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.491,23"
LORA Y MARQUEZ SL,Mejorar a empleabilidad de las personas desempleadas,"1.299,90"
"LORAC SERVICIOS MEDICOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"926,66"
LORACHE GESTION SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,26"
LORAISMA CENTRO DE BELLEZA S.L,Mejorar a empleabilidad de las personas desempleadas,"1.005,75"
LORALDI S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
LORAMU SL,Mejorar a empleabilidad de las personas desempleadas,"728,86"
"LORANCA SERVICIOS INMOBILIARIOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.182,84"
LORANCAR 2003 SL -UNIPERSONAL-,Mejorar a empleabilidad de las personas desempleadas,"500,00"
LORANCONSTRU DECORACIONES SL,Mejorar a empleabilidad de las personas desempleadas,"857,76"
LORANDINO SL,Mejorar a empleabilidad de las personas desempleadas,"33,04"
LORAS GESTION SL,Mejorar a empleabilidad de las personas desempleadas,"475,00"
LORATOGA SL,Mejorar a empleabilidad de las personas desempleadas,"979,79"
"LORBELL VIAJES, S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"201,82"
LORCA ARCE SA,Mejorar a empleabilidad de las personas desempleadas,"4.809,45"
"LORCA FERNANDEZ A., ARIAS MENENDEZ M.P.; COM.B.",Mejorar a empleabilidad de las personas desempleadas,"1.421,50"
LORCA GERMANS SA,Mejorar a empleabilidad de las personas desempleadas,"366,65"
LORCA MEDICINA ORTOPEDIA SL,Mejorar a empleabilidad de las personas desempleadas,"616,17"
LORCA SIETE CAMISES S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.376,39"
LORCA Y RUBIO SL,Mejorar a empleabilidad de las personas desempleadas,"179,92"
LORCACENTER SL,Mejorar a empleabilidad de las personas desempleadas,"424,98"
"LORCARMEN, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.281,10"
LORCHAM INVERSIONES SL,Mejorar a empleabilidad de las personas desempleadas,"883,25"
LORD BERNAR S.L.U.,Mejorar a empleabilidad de las personas desempleadas,"900,14"
LORD BOSS SL,Mejorar a empleabilidad de las personas desempleadas,"306,64"
LORD SANDWICHES SL,Mejorar a empleabilidad de las personas desempleadas,"1.069,93"
"LORD SERVICIOS TECNOLOGICOS,S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"628,82"
LORDEN RESTAURACION SL,Mejorar a empleabilidad de las personas desempleadas,"194,78"
LORDOS SL,Mejorar a empleabilidad de las personas desempleadas,"975,04"
"LORDS CAR COSLADA, S.L. (EN CONSTITUCION)",Mejorar a empleabilidad de las personas desempleadas,"331,06"
LOREA HERRAIZ SL,Mejorar a empleabilidad de las personas desempleadas,"2.072,46"
LOREAK MENDIAN SL,Mejorar a empleabilidad de las personas desempleadas,"1.315,30"
"LOREFAR, SL",Mejorar a empleabilidad de las personas desempleadas,"600,00"
"LOREM IPSUM, SL",Mejorar a empleabilidad de las personas desempleadas,"80,24"
LOREN MARTI SL,Mejorar a empleabilidad de las personas desempleadas,"243,29"
LOREN SERVICIOS A COMUNIDADES SL,Mejorar a empleabilidad de las personas desempleadas,"1.230,00"
"LORENA QUINTANA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"89,72"
"LORENA SHOES, SL",Mejorar a empleabilidad de las personas desempleadas,"1.808,20"
"LORENAY, SL",Mejorar a empleabilidad de las personas desempleadas,"1.549,95"
"LORENSAN, SL",Mejorar a empleabilidad de las personas desempleadas,"1.366,92"
"LORENSANCHEZ VALENCIA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.092,74"
"LORENTE ALBACETE E HIJOS, S.L",Mejorar a empleabilidad de las personas desempleadas,"205,38"
LORENTE ASESORES FISCALES SL,Mejorar a empleabilidad de las personas desempleadas,"1.593,63"
LORENTE COLODRO AUTOMOCION SL,Mejorar a empleabilidad de las personas desempleadas,"749,95"
LORENTE DUCUN J LORENTE SEVILLA JL SEVILLA IBANEZ MC,Mejorar a empleabilidad de las personas desempleadas,"672,98"
LORENTE EUROPE SL,Mejorar a empleabilidad de las personas desempleadas,"1.052,51"
LORENTE HERNANDEZ FERNANDO MANUEL Y GERMAN,Mejorar a empleabilidad de las personas desempleadas,"2.190,99"
LORENTE LAZARO SL,Mejorar a empleabilidad de las personas desempleadas,"950,00"
"LORENTE LOPEZ BARBARA MARGARITA 370014C, S.L.N.E.",Mejorar a empleabilidad de las personas desempleadas,"916,04"
LORENTE MARTINEZ Y OTRO EN CB,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
LORENTE RODRIGUEZ LUIS Y SANZ RABOSO SILVIA,Mejorar a empleabilidad de las personas desempleadas,"1.086,33"
LORENTE SERVICIO DE PINTORES SL,Mejorar a empleabilidad de las personas desempleadas,"290,00"
LORENZANA FERNANDEZ ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
"LORENZETTI MASCO, SL",Mejorar a empleabilidad de las personas desempleadas,"1.966,50"
LORENZO & MARCOS ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"642,19"
LORENZO ALONSO E HIJOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.060,00"
LORENZO CALVO GARCIA ANTONIO GARCIA DEL PINO MARTINEZ Y,Mejorar a empleabilidad de las personas desempleadas,"351,76"
LORENZO CASANOVA Y HERMANOS SA,Mejorar a empleabilidad de las personas desempleadas,"2.396,73"
LORENZO CASAS SA,Mejorar a empleabilidad de las personas desempleadas,"1.333,33"
LORENZO FERNANDEZ SA,Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
LORENZO GONZALEZ DE LA FUENTE SL,Mejorar a empleabilidad de las personas desempleadas,"106,26"
LORENZO GUERRERO LARA SL,Mejorar a empleabilidad de las personas desempleadas,"213,22"
"LORENZO MAQUINARIA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.998,26"
LORENZO MARQUEZ Y GLORIA CASTELLANO SA,Mejorar a empleabilidad de las personas desempleadas,"1.650,00"
LORENZO MARTIN LARRABE,Mejorar a empleabilidad de las personas desempleadas,"984,51"
LORENZO PELUQUEROS SL,Mejorar a empleabilidad de las personas desempleadas,"345,27"
LORENZO SANDUA SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
LORENZO Y JAVIER PARQUET SL,Mejorar a empleabilidad de las personas desempleadas,"386,69"
"LORENZO Y PARLORIO ASESORES, SL",Mejorar a empleabilidad de las personas desempleadas,"308,10"
LORES ARQUITECTURA TECNICA SL,Mejorar a empleabilidad de las personas desempleadas,"127,50"
LORES BOULLOSA GESTION S. COOP. GALLEGA,Mejorar a empleabilidad de las personas desempleadas,"779,13"
"LORES METAL,S.L.",Mejorar a empleabilidad de las personas desempleadas,"39,96"
"LORETRANSMUR, S.L.",Mejorar a empleabilidad de las personas desempleadas,"231,37"
"LORIMA SCA, S.I.",Mejorar a empleabilidad de las personas desempleadas,"2.118,75"
"LORIMAR SUR,S.L. UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
LORING ART SL,Mejorar a empleabilidad de las personas desempleadas,"705,38"
LORIPET SEVILLA SL,Mejorar a empleabilidad de las personas desempleadas,"1.426,64"
"LORITEX, SL",Mejorar a empleabilidad de las personas desempleadas,"1.473,16"
"LORK INDUSTRIAS, SL",Mejorar a empleabilidad de las personas desempleadas,"4.069,73"
"LORKEL TRENO CANARIAS, S.L",Mejorar a empleabilidad de las personas desempleadas,"774,38"
"LORLOCH G&J, S.L.",Mejorar a empleabilidad de las personas desempleadas,"668,15"
"LORMAI, S.C.",Mejorar a empleabilidad de las personas desempleadas,"502,88"
LORMAN ADMINISTRACIONES SL,Mejorar a empleabilidad de las personas desempleadas,"2.999,94"
LORMANF97ZSL,Mejorar a empleabilidad de las personas desempleadas,"239,55"
